"rank","region","logo","team","opponent","opponent_logo"
5,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/21.png","San Diego State Aztecs","Charleston Cougars","https://a.espncdn.com/i/teamlogos/ncaa/500/232.png"
6,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/156.png","Creighton Bluejays","NC State Wolfpack","https://a.espncdn.com/i/teamlogos/ncaa/500/152.png"
7,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/142.png","Missouri Tigers","Utah State Aggies","https://a.espncdn.com/i/teamlogos/ncaa/500/328.png"
8,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/120.png","Maryland Terrapins","West Virginia Mountaineers","https://a.espncdn.com/i/teamlogos/ncaa/500/277.png"
9,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/277.png","West Virginia Mountaineers","Maryland Terrapins","https://a.espncdn.com/i/teamlogos/ncaa/500/120.png"
10,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/328.png","Utah State Aggies","Missouri Tigers","https://a.espncdn.com/i/teamlogos/ncaa/500/142.png"
11,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/152.png","NC State Wolfpack","Creighton Bluejays","https://a.espncdn.com/i/teamlogos/ncaa/500/156.png"
12,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/232.png","Charleston Cougars","San Diego State Aztecs","https://a.espncdn.com/i/teamlogos/ncaa/500/21.png"
13,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/231.png","Furman Paladins","Virginia Cavaliers","https://a.espncdn.com/i/teamlogos/ncaa/500/258.png"
14,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png","UC Santa Barbara Gauchos","Baylor Bears","https://a.espncdn.com/i/teamlogos/ncaa/500/239.png"
15,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/163.png","Princeton Tigers","Arizona Wildcats","https://a.espncdn.com/i/teamlogos/ncaa/500/12.png"
