"rank","region","team","opponent"
1,"East","Duke Blue Devils","North Carolina Central Eagles/North Dakota State Bison"
2,"East","Michigan State Spartans","Bradley Braves"
3,"East","LSU Tigers","Yale Bulldogs"
4,"East","Virginia Tech Hokies","Saint Louis Billikens"
5,"East","Mississippi State Bulldogs","Liberty Flames"
6,"East","Maryland Terrapins","Belmont Bruins/Temple Owls"
7,"East","Louisville Cardinals","Minnesota Golden Gophers"
8,"East","VCU Rams","UCF Knights"
9,"East","UCF Knights","VCU Rams"
10,"East","Minnesota Golden Gophers","Louisville Cardinals"
11,"East","Belmont Bruins/Temple Owls","Maryland Terrapins"
12,"East","Liberty Flames","Mississippi State Bulldogs"
13,"East","Saint Louis Billikens","Virginia Tech Hokies"
14,"East","Yale Bulldogs","LSU Tigers"
15,"East","Bradley Braves","Michigan State Spartans"
16,"East","North Carolina Central Eagles/North Dakota State Bison","Duke Blue Devils"
1,"Midwest","North Carolina Tar Heels","Iona Gaels"
2,"Midwest","Kentucky Wildcats","Abilene Christian Wildcats"
3,"Midwest","Houston Cougars","Georgia State Panthers"
4,"Midwest","Kansas Jayhawks","Northeastern Huskies"
5,"Midwest","Auburn Tigers","New Mexico State Aggies"
6,"Midwest","Iowa State Cyclones","Ohio State Buckeyes"
7,"Midwest","Wofford Terriers","Seton Hall Pirates"
8,"Midwest","Utah State Aggies","Washington Huskies"
9,"Midwest","Washington Huskies","Utah State Aggies"
10,"Midwest","Seton Hall Pirates","Wofford Terriers"
11,"Midwest","Ohio State Buckeyes","Iowa State Cyclones"
12,"Midwest","New Mexico State Aggies","Auburn Tigers"
13,"Midwest","Northeastern Huskies","Kansas Jayhawks"
14,"Midwest","Georgia State Panthers","Houston Cougars"
15,"Midwest","Abilene Christian Wildcats","Kentucky Wildcats"
16,"Midwest","Iona Gaels","North Carolina Tar Heels"
1,"South","Virginia Cavaliers","Gardner-Webb Bulldogs"
2,"South","Tennessee Volunteers","Colgate Raiders"
3,"South","Purdue Boilermakers","Old Dominion Monarchs"
4,"South","Kansas State Wildcats","UC Irvine Anteaters"
5,"South","Wisconsin Badgers","Oregon Ducks"
6,"South","Villanova Wildcats","Saint Mary's Gaels"
7,"South","Cincinnati Bearcats","Iowa Hawkeyes"
8,"South","Ole Miss Rebels","Oklahoma Sooners"
9,"South","Oklahoma Sooners","Ole Miss Rebels"
10,"South","Iowa Hawkeyes","Cincinnati Bearcats"
11,"South","Saint Mary's Gaels","Villanova Wildcats"
12,"South","Oregon Ducks","Wisconsin Badgers"
13,"South","UC Irvine Anteaters","Kansas State Wildcats"
14,"South","Old Dominion Monarchs","Purdue Boilermakers"
15,"South","Colgate Raiders","Tennessee Volunteers"
16,"South","Gardner-Webb Bulldogs","Virginia Cavaliers"
1,"West","Gonzaga Bulldogs","Fairleigh Dickinson Knights/Prairie View A&M Panthers"
2,"West","Michigan Wolverines","Montana Grizzlies"
3,"West","Texas Tech Red Raiders","Northern Kentucky Norse"
4,"West","Florida State Seminoles","Vermont Catamounts"
5,"West","Marquette Golden Eagles","Murray State Racers"
6,"West","Buffalo Bulls","Arizona State Sun Devils/St. John's Red Storm"
7,"West","Nevada Wolf Pack","Florida Gators"
8,"West","Syracuse Orange","Baylor Bears"
9,"West","Baylor Bears","Syracuse Orange"
10,"West","Florida Gators","Nevada Wolf Pack"
11,"West","Arizona State Sun Devils/St. John's Red Storm","Buffalo Bulls"
12,"West","Murray State Racers","Marquette Golden Eagles"
13,"West","Vermont Catamounts","Florida State Seminoles"
14,"West","Northern Kentucky Norse","Texas Tech Red Raiders"
15,"West","Montana Grizzlies","Michigan Wolverines"
16,"West","Fairleigh Dickinson Knights/Prairie View A&M Panthers","Gonzaga Bulldogs"
